FLOW_AREA,RV_BAS_AREA,RV_GRAD,RV_LEN,RV_NAME,RV_TYPE
秭归县-九畹溪镇-九畹溪村/秭归县-杨林桥镇-白岩村/秭归县-杨林桥镇-三渡河村/秭归县-杨林桥镇-杨林桥村/秭归县-九畹溪镇-砚窝台村/秭归县-九畹溪镇-中阳坪村/秭归县-九畹溪镇-槐树坪村/秭归县-九畹溪镇-界垭村,590,2,43,九畹溪,1
秭归县,20,7,5,墓坪河,1
秭归县,49,6,14,白布溪,1
秭归县,94,6,21,老林河,1
秭归县,33,6,6,干溪沟,1
秭归县-九畹溪镇-界垭村,62,6,12,周坪河,1
夷陵区-龙泉镇-柏家坪村/夷陵区-龙泉镇-罗家畈村/夷陵区-龙泉镇-宋家嘴村/夷陵区-龙泉镇-香烟寺村/夷陵区-龙泉镇-青龙村/夷陵区-龙泉镇-龙泉村/夷陵区-龙泉镇-钟家畈村/夷陵区-龙泉镇-龙镇社区居委会,172,5,33,龙泉河（鲍家坪沟）,1
夷陵区,37,6,15,院子河,1
夷陵区,14,6,10,雷家河（沙水河）,1
夷陵区-黄花镇-背马山村/夷陵区-小溪塔街道-官庄村委会/夷陵区-小溪塔街道-岩花村委会/夷陵区-小溪塔街道-仓屋榜村/宜昌高新区-生物产业园-石花山村委会/夷陵区-龙泉镇-跑马岗村/夷陵区-龙泉镇-水府庙村/夷陵区-龙泉镇-钟家畈村,484,2,50,柏临河,1
夷陵区-龙泉镇-罗家畈村/夷陵区-龙泉镇-法官泉村/夷陵区-龙泉镇-万家畈村/夷陵区-龙泉镇-跑马岗村,40,7,18,秦家河,1
夷陵区,13,8,4,蜘蛛洞河,1
夷陵区-鸦鹊岭镇-新场村/夷陵区-鸦鹊岭镇-东西泉村/夷陵区-鸦鹊岭镇-金和村,103,6,23,后河,1
夷陵区,12,7,7,磨子溪（冯家小河）,1
夷陵区,10,7,4,胡家畈河（新场小河）,1
夷陵区-龙泉镇-李家台村/夷陵区-龙泉镇-白庙村,37,6,15,土门河,1
夷陵区,10,7,4,宋家河（夷陵）,1
当阳市,720,2,62,玛瑙河,1
当阳市-王店镇-满山红村,10,6,5,许家冲,1
当阳市-王店镇-双莲村/当阳市-王店镇-严河村,136,6,29,泉河（朱家冲）,1
当阳市-王店镇-双莲村/当阳市-王店镇-白河村/当阳市-王店镇-严河村/当阳市-王店镇-史店村,22,7,11,何家冲,1
当阳市-王店镇-朝阳观村/当阳市-王店镇-王店村/当阳市-王店镇-黑土坡村/当阳市-王店镇-史店村,30,7,11,周家河,1
夷陵区,59,6,16,勾家冲,1
夷陵区,22,7,6,陈家冲,1
枝江市,23,6,15,沈家冲,1
