xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
106,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.30%,总磷(0.05-0.2),2,0.105-0.12,下雨、面源污染、受上游来水影响及回水区,2024年6月
107,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.00%,总磷(0.05),3,0.111-0.176,下雨、面源污染、受上游来水影响及回水区,2024年6月
108,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
109,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
110,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
111,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
112,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅰ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
113,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,90.00%,溶解氧（-）,2,4.4,下雨、面源污染,2024年6月
114,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,90.00%,总磷(0.2),1,0.24,下雨、面源污染,2024年6月
115,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
116,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,86.70%,溶解氧（-）,1,5.9,水流量特别小,2024年6月
117,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,86.70%,高锰酸盐指数(0.125),1,4.5,下雨，面源污染,2024年6月
118,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,86.70%,总磷(0.15-0.29),3,0.115-0.129,下雨，面源污染,2024年6月
119,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年6月
120,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅲ类,良好,总磷（0.19）,45.20%,总磷(0.23-1.03),17,0.123-0.203,下雨、面源污染、上游大坝放水影响,2024年7月
121,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年7月
122,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年7月
123,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,54.80%,溶解氧（-）,6,4.9-5.9,下雨、面源污染,2024年7月
124,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,54.80%,高锰酸盐指数(0.1),1,4.4,下雨、面源污染,2024年7月
