xh,xsq,yts,lts,qdwrts,zdwrts1,zdwrts2,yzwrts,yltsbl,jsntqzf,bqsj
237,宜都市,13,100,27,7,4,0,74.8,-6.8,2025年1～5月
238,*高新区,15,87,33,8,3,1,69.4,2.5,2025年1～5月
239,国家考核区域,14,106,20,7,3,1,79.5,2.5,2025年1～5月
240,全市平均,,,,,,,81.3,-1.3,2025年1～5月
241,五峰县,72,100,5,2,0,0,96.1,-2.8,2025年1～6月
242,兴山县,73,98,9,1,0,0,94.5,-4.4,2025年1～6月
243,*点军区,33,108,15,7,3,0,84.9,10.8,2025年1～6月
244,*猇亭区,28,118,18,6,2,1,84.4,1.2,2025年1～6月
245,远安县,30,120,26,2,1,1,83.3,-7.4,2025年1～6月
246,秭归县,39,111,25,5,0,0,83.3,-10.5,2025年1～6月
247,*夷陵区,28,115,20,7,2,1,82.7,8.3,2025年1～6月
248,枝江市,23,126,24,7,1,0,82.3,4.3,2025年1～6月
249,当阳市,24,124,23,9,0,1,81.8,-0.6,2025年1～6月
250,*西陵区,28,112,23,7,2,1,80.9,0.1,2025年1～6月
251,*伍家岗区,24,114,24,5,4,0,80.7,4.6,2025年1～6月
252,长阳县,37,106,28,7,2,0,79.4,-6.9,2025年1～6月
253,宜都市,25,116,29,7,4,0,77.9,-4.5,2025年1～6月
254,*高新区,28,99,35,8,3,1,73,6.7,2025年1～6月
255,国家考核区域,29,120,21,7,3,1,82.3,4.8,2025年1～6月
256,全市平均,,,,,,,83.2,-0.1,2025年1～6月
257,五峰县,99,104,5,2,0,0,96.7,-2.4,2025年1～7月
258,兴山县,93,109,9,1,0,0,95.3,-3.7,2025年1～7月
259,*点军区,44,121,15,7,3,0,86.8,8.7,2025年1～7月
260,*猇亭区,41,135,18,6,2,1,86.7,1.5,2025年1～7月
261,远安县,48,133,26,2,1,1,85.8,-6.2,2025年1～7月
262,秭归县,55,126,25,5,0,0,85.8,-8.9,2025年1～7月
263,*夷陵区,41,133,20,7,2,1,85.3,7.1,2025年1～7月
264,枝江市,43,137,24,7,1,0,84.9,3.7,2025年1～7月
265,当阳市,39,140,23,9,0,1,84.4,-0.6,2025年1～7月
266,*西陵区,41,130,23,7,2,1,83.8,0.5,2025年1～7月
267,*伍家岗区,38,130,24,5,4,0,83.6,3.9,2025年1～7月
268,长阳县,52,122,28,7,2,0,82.5,-5.8,2025年1～7月
269,宜都市,37,135,29,7,4,0,81.1,-3.9,2025年1～7月
270,*高新区,39,118,35,8,3,1,77,6.4,2025年1～7月
271,国家考核区域,42,138,21,7,3,1,84.9,4.1,2025年1～7月
272,全市平均,,,,,,,85.7,0,2025年1～7月
273,五峰县,125,108,5,2,0,0,97.1,-2.1,2025年1～8月
274,兴山县,117,116,9,1,0,0,95.9,-3.3,2025年1～8月
275,*猇亭区,58,147,18,6,2,1,88.4,1.3,2025年1～8月
276,远安县,69,143,26,2,1,1,87.6,-5.4,2025年1～8月
277,秭归县,80,132,25,5,0,0,87.6,-7.8,2025年1～8月
278,*夷陵区,56,147,20,7,2,1,87.1,6.5,2025年1～8月
279,*点军区,55,132,18,7,3,0,87,6,2025年1～8月
280,枝江市,66,145,24,7,1,0,86.8,3.2,2025年1～8月
281,当阳市,56,154,23,9,0,1,86.4,-0.5,2025年1～8月
282,*伍家岗区,55,144,24,5,4,0,85.8,3.9,2025年1～8月
283,*西陵区,56,142,25,7,2,1,85,-0.1,2025年1～8月
284,长阳县,73,132,28,7,2,0,84.7,-4.2,2025年1～8月
285,宜都市,55,148,29,7,4,0,83.5,-2.6,2025年1～8月
286,*高新区,51,135,37,8,3,1,79.1,6.5,2025年1～8月
287,国家考核区域,57,154,21,7,3,1,86.8,3.6,2025年1～8月
288,全市平均,,,,,,,87.3,0.1,2025年1～8月
