xh,lxsaj,lxsmc,yycs,xkjyyw,dh,bz
175,/,湖北新起点国际旅行社有限公司,宜昌市伍家岗区沿江大道198号江山风华D-16号商铺,境内旅游业务、入境旅游业务,"6222102
6222103",
176,/,湖北省红岩国际旅行社有限公司,湖北省宜昌市宜都市姚家店镇万达金街商铺15栋310号（自主申报）,境内旅游业务、入境旅游业务,"6687775
6287775",
177,/,宜昌隆基旅运有限公司,宜昌市西陵区东山大道140-1103号,境内旅游业务、入境旅游业务,"6620011
6620022",
178,/,宜昌华夏国际旅行社有限公司,宜昌市伍家岗区沿江大道特168-7号9层,境内旅游业务、入境旅游业务,"6623352
8857151",
179,/,宜昌爱好游国际旅行社有限公司,宜昌市伍家岗区城东大道85号旭光商贸大厦6楼605室,境内旅游业务、入境旅游业务,"6213216
6216012",
180,/,湖北省荣耀假期旅行社有限责任公司,宜昌市西陵区绿萝路4号-202,境内旅游业务、入境旅游业务,"6830703
6435268",
181,/,湖北乡村耕读国际旅行社有限责任公司,五峰土家族自治县渔洋关镇曹家坪路62号,境内旅游业务、入境旅游业务,"5822088
5823008",
182,/,湖北八月假期国际旅行社有限公司,宜昌市伍家岗区伍临路33号6栋B座1307,境内旅游业务、入境旅游业务,"6214639
6216436",
183,/,当阳市长坂文化旅游有限公司,当阳市玉阳街道端直街22号（原百货大楼一楼）,境内旅游业务、入境旅游业务,"3226216
3228355",
184,/,宜昌市景云旅行社有限公司,宜昌市西陵区夜明珠路49号,境内旅游业务、入境旅游业务,"6711785
6830703",
185,/,湖北华运旅行社有限责任公司,宜昌市伍家岗区城东大道与合益路交汇处天悦广场9-030603、9-030604,境内旅游业务、入境旅游业务,"6443536
6443537",
186,/,湖北优界旅行社有限公司,宜昌市西陵区西陵二路169号三峡数智产业园5层,境内旅游业务、入境旅游业务,7551119 7826511,
187,/,湖北好旅伴国际旅行社有限公司,宜昌市伍家岗区同强路7号13栋15层1515室,境内旅游业务、入境旅游业务,6745606  6521606,
188,/,宜昌鸿盛旅行社有限责任公司,湖北省宜昌市点军区李家河村（江南大道62号）,境内旅游业务、入境旅游业务,6223809 6988112,
189,/,湖北欢朋国际旅行社有限公司,宜昌市西陵区夷陵大道52-2-061号,境内旅游业务、入境旅游业务,"6218865
6218580",
190,/,湖北佳跃国际旅行社有限公司,宜昌市西陵区云集路2-1号云集大厦702,境内旅游业务、入境旅游业务,6682068  6442806,
191,/,湖北云中国际旅行社有限公司,宜昌市西陵区发展大道91-13号,境内旅游业务、入境旅游业务,"4008360735
4008921837",
192,/,宜昌兴成国际旅行社有限公司,宜昌市西陵区解放路8号宜贸大楼三楼B01室,境内旅游业务、入境旅游业务,"6232288
6211205",
193,/,湖北阅山河国际旅行社有限责任公司,宜昌市西陵区体育场路41号2栋,国内旅游业务、入境旅游业务,"6981398
6981394",
194,/,宜达国际旅行社（宜昌市）有限公司,宜昌市西陵区珍珠路111号9A-1,境内旅游业务、 入境旅游业务,"8866861
6752188",
195,/,湖北顺嘉弘国际旅行社有限公司,宜昌市夷陵区太平溪镇港口路26-6号,境内旅游业务、 入境旅游业务,"7510018
6583666",
196,/,湖北鄂旅国际旅行社有限公司,宜昌市伍家岗区城东大道93号A02-1012,境内旅游业务、 入境旅游业务,"6093347
6093349",
